objectid;nom_site;adresse;code_site;arrondissement;geo_shape;lat;lon
4;DISCOTHEQUE DES HALLES;8, PORTE SAINT EUSTACHE;PARIS_WIFI_0104;75001;"{""type"": ""Point"", ""coordinates"": [2.346643382040771, 48.862272857254126]}";48,86227286;2,346643382
12;MAISON INITIATIVES ETUDIANTES;50, RUE DES TOURNELLES;PARIS-WIFI_0304;75003;"{""type"": ""Point"", ""coordinates"": [2.367336478361704, 48.85621907442342]}";48,85621907;2,367336478
17;ATELIER DE RESTAURATION PHOTOGRAPHIQUE  (ARCP);10, RUE DE FOURCY;PARIS_WIFI_0401;75004;"{""type"": ""Point"", ""coordinates"": [2.359633127609575, 48.854840365728535]}";48,85484037;2,359633128
21;ESPACE DES BLANCS MANTEAUX;48, RUE VEILLE DU TEMPLE;PARIS_WIFI_0407;75004;"{""type"": ""Point"", ""coordinates"": [2.358373677563368, 48.85825856292208]}";48,85825856;2,358373678
24;HOTEL DE VILLE (1ER ETAGE);4, PLACE DE L'HOTEL DE VILLE;PARIS_WIFI_0410;75004;"{""type"": ""Point"", ""coordinates"": [2.35219155353054, 48.85665066487209]}";48,85665066;2,352191554
25;HOTEL DE VILLE (3E ETAGE);4, PLACE DE L'HOTEL DE VILLE;PARIS_WIFI_0411;75004;"{""type"": ""Point"", ""coordinates"": [2.352542221340693, 48.855927850116515]}";48,85592785;2,352542221
26;HOTEL DE VILLE (4E ETAGE);4, PLACE DE L'HOTEL DE VILLE;PARIS_WIFI_0412;75004;"{""type"": ""Point"", ""coordinates"": [2.352574324547439, 48.856290379742596]}";48,85629038;2,352574325
33;PARVIS DE L'HOTEL DE VILLE (SEINE);4, PLACE DE L'HOTEL DE VILLE;PARIS_WIFI_0419;75004;"{""type"": ""Point"", ""coordinates"": [2.351943484420188, 48.8564668226057]}";48,85646682;2,351943484
38;SQUARE DE LA TOUR SAINT JACQUES;88, RUE DE RIVOLI;PARIS_WIFI_0424;75004;"{""type"": ""Point"", ""coordinates"": [2.349269982359865, 48.857798215002816]}";48,85779822;2,349269982
40;SQUARE SAINT MEDARD;32 RUE CENSIER;PARIS_WIFI_0513;75005;"{""type"": ""Point"", ""coordinates"": [2.350530078011329, 48.839761189862855]}";48,83976119;2,350530078
