date;nom_du_cafe;adresse;arrondissement;prix_comptoir;prix_salle;prix_terasse;geoloc
2012-06-27;En attendant l'or;3 rue Faidherbe;75011;1;-;-;48.850836 2.384069
2012-06-27;Aux cadrans;21 ter boulevard Diderot;75012;1;-;-;48.845652 2.371817
2012-06-27;Brûlerie San José;30 rue des Petits-Champs;75002;1;-;-;48.866993 2.336006
2012-06-27;Etienne;14 rue Turbigo, Paris;75001;1;-;-;48.863675 2.348701
2012-06-27;L'ingénu;184 bd Voltaire;75011;1;-;-;48.854584 2.385193
2012-06-27;L'Olive;8 rue L'Olive;75018;1;-;-;48.890605 2.361349
2012-06-27;Le Biz;18 rue Favart;75002;1;-;-;48.871396 2.338321
2012-06-27;Le Cap Bourbon;1 rue Louis le Grand;75002;1;-;-;48.868109 2.331785
2012-06-27;Le General Beuret;9 Place du General Beuret;75015;1;-;-;48.84167 2.303053
2012-10-09;La Perle;78 rue vieille du temple;75003;1;-;-;48.859772 2.360558
2012-03-07;Le petit club;55 rue de la tombe Issoire;75014;1;-;-;48.830151 2.334213
2012-06-27;Le Germinal;95 avenue Emile Zola;75015;1;-;-;48.846814 2.289311
2012-06-27;Le Ragueneau;202 rue Saint-Honoré;75001;1;-;-;48.862655 2.337607
2012-06-27;Le refuge;72 rue lamarck;75018;1;-;-;48.889982 2.338933
2012-06-27;Le sully;13 rue du Faubourg Saint Denis;75010;1;-;-;48.870294 2.352821
2012-10-09;Le relais de la victoire;73 rue de la Victoire;75009;1;-;-;48.875207 2.332944
2012-03-07;La chaumière gourmande;"Route de la Muette à Neuilly
Club hippique du Jardin d’Acclimatation";75016;;1;-;
2012-03-07;Caves populaires;22 rue des Dames;75017;1;-;-;48.884753 2.324648
2012-03-07;Caprice café;12 avenue Jean Moulin;75014;1;-;-;48.827428 2.325652
2012-03-07;Tamm Bara;7 rue Clisson;75013;1;-;-;48.832964 2.369266
2012-03-07;L'anjou;1 rue de Montholon;75009;1;-;-;48.876577 2.348414
2012-03-07;Café dans l'aerogare Air France Invalides;2 rue Robert Esnault Pelterie;75007;1;-;-;48.862599 2.315086
2012-03-07;Waikiki;"10 rue d""Ulm";75005;1;-;-;48.844854 2.345413
2012-03-07;Chez Prune;36 rue Beaurepaire;75010;1;-;-;48.871576 2.364499
2012-06-27;Au Vin Des Rues;21 rue Boulard;75014;1;-;-;48.833863 2.329046
2012-06-27;bistrot les timbrés;14 rue d'alleray;75015;1;-;-;48.838137 2.301166
2012-06-27;Café beauveau;9 rue de Miromesnil;75008;1;-;-;48.871799 2.315985
2012-06-27;Café de la Mairie (du VIII);rue de Lisbonne;75008;1;-;-;48.877635 2.312777
2012-06-27;Café Pistache;9 rue des petits champs;75001;1;-;-;48.866259 2.338739
2012-06-27;La Cagnotte;13 Rue Jean-Baptiste Dumay;75020;1;-;-;48.874605 2.387738
2012-06-27;le 1 cinq;172 rue de vaugirard;75015;1;-;-;48.842462 2.310919
2012-06-27;Le Killy Jen;28 bis boulevard Diderot;75012;1;-;-;48.84591 2.375543
2012-06-27;Les Artisans;106 rue Lecourbe;75015;1;-;-;48.842868 2.303173
2012-06-27;Peperoni;83 avenue de Wagram;75001;1;-;-;48.880239 2.299493
2014-02-01;L'antre d'eux;16 rue DE MEZIERES;75006;1;-;-;48.850316 2.330101
2014-02-01;Le bal du pirate;60 rue des bergers;75015;1;-;-;48.842128 2.280374
2014-02-01;zic zinc;95 rue claude decaen;75012;1;-;-;48.838769 2.39609
2014-02-01;l'orillon bar;35 rue de l'orillon;75011;1;-;-;48.870247 2.376306
2013-08-22;Le Zazabar;116 Rue de Ménilmontant;75020;1;-;-;48.869848 2.394247
2013-08-22;L'Inévitable;22 rue Linné;75005;1;-;-;48.845458 2.354796
2012-05-11;Ragueneau;202 rue Saint Honoré;75001;1;-;-;48.862655 2.337607
2012-10-22;Le Caminito;48 rue du Dessous des Berges;75013;1;1;;48.826608 2.374571
2012-10-22;Epicerie Musicale;55bis quai de Valmy;75010;1;1;-;48.870598 2.365413
2012-10-22;Le petit Bretonneau;Le petit Bretonneau - à l'intérieur de l'Hôpital;75018;1;1;-;
2012-10-22;Le Centenaire;104 rue amelot;75011;1;1;-;48.862575 2.367427
2012-10-22;La Montagne Sans Geneviève;13 Rue du Pot de Fer;75005;;1;-;48.842833 2.348314
2012-10-18;Les Pères Populaires;46 rue de Buzenval;75020;1;1;-;48.851325 2.40171
2012-10-09;Cafe de grenelle;188 rue de Grenelle;75007;1;-;-;48.857658 2.305613
2014-02-01;le lutece;380 rue de vaugirard;75015;1;-;-;48.833146 2.288834
2014-02-01;Brasiloja;16 rue Ganneron;75018;1;-;-;48.886431 2.327429
2014-02-01;Rivolux;16 rue de Rivoli;75004;1;-;-;48.855711 2.359491
2014-02-01;Chai 33;33 Cour Saint Emilion;75012;1;-;-;48.832844 2.386792
2013-08-22;L'européen;21 Bis Boulevard Diderot;75012;1;-;-;48.845898 2.372766
2013-08-22;NoMa;39 rue Notre Dame de Nazareth;75003;1;-;-;48.867465 2.357791
2013-08-22;O'Paris;1 Rue des Envierges;75020;1;-;-;48.871595 2.385858
2013-08-22;Café Clochette;16 avenue Richerand;75010;1;-;-;48.872402 2.366532
2013-08-22;La cantoche de Paname;40 Boulevard Beaumarchais;75011;0;-;-;48.856584 2.368574
2013-08-22;Le Saint René;148 Boulevard de Charonne;75020;1;-;-;48.856496 2.394874
2012-10-22;La Liberté;196 rue du faubourg saint-antoine;75012;1;1;-;48.850055 2.383908
2012-10-22;Chez Rutabaga;16 rue des Petits Champs;75002;1;1;-;48.866737 2.33716
2012-10-22;Le BB (Bouchon des Batignolles);2 rue Lemercier;75017;1;1;-;48.885367 2.325325
2012-10-22;La Brocante;10 rue Rossini;75009;1;1;-;48.873175 2.339193
2012-10-22;Le Plomb du cantal;3 rue Gaîté;75014;1;1;-;48.840771 2.324589
2012-10-22;Les caves populaires;22 rue des Dames;75017;1;1;-;48.884753 2.324648
2012-10-09;Chez Luna;108 rue de Ménilmontant;75020;1;-;-;48.869519 2.39339
2012-03-07;Le bar Fleuri;1 rue du Plateau;75019;1;-;-;48.877903 2.385365
2012-03-07;Le Chaumontois;12 rue Armand Carrel;75018;1;-;-;48.88268 2.38042
2012-03-07;Trois pièces cuisine;101 rue des dames;75017;1;-;-;48.882939 2.31809
2012-03-07;Le Zinc;61 avenue de la Motte Picquet;75015;1;-;-;48.849497 2.298855
2012-03-07;La cantine de Zoé;136 rue du Faubourg poissonnière;75010;1;-;-;48.880669 2.349964
2012-03-07;Les Vendangeurs;6/8 rue Stanislas;75006;1;-;-;48.844057 2.328402
2012-03-07;L'avant comptoir;3 carrefour de l'Odéon;75006;1;-;-;48.852053 2.338779
2012-03-07;Botak cafe;1 rue Paul albert;75018;1;1;1;48.886504 2.34498
2012-03-07;le chateau d'eau;67 rue du Château d'eau;75010;1;-;-;48.872722 2.354594
2012-06-27;Bistrot Saint-Antoine;58 rue du Fbg Saint-Antoine;75012;1;-;-;48.85192 2.373229
2012-06-27;Chez Oscar;11/13 boulevard Beaumarchais;75004;1;-;-;48.854685 2.368487
2012-06-27;Le Fronton;63 rue de Ponthieu;75008;1;-;-;48.87226 2.304441
2012-06-27;Le Piquet;48 avenue de la Motte Picquet;75015;1;-;-;48.851 2.300378
2012-06-27;Le Tournebride;104 rue Mouffetard;75005;1;-;-;48.841089 2.349565
2012-06-27;maison du vin;52 rue des plantes;75014;1;-;-;48.828704 2.322074
2014-02-01;Coffee Chope;344Vrue Vaugirard;75015;1;-;-;48.839472 2.30286
2014-02-01;L'entrepôt;157 rue Bercy 75012 Paris;75012;1;-;-;48.842146 2.375986
2013-08-22;Le café Monde et Médias;Place de la République;75003;1;-;-;48.867092 2.363288
2013-08-22;Café rallye tournelles;11 Quai de la Tournelle;75005;1;-;-;48.849821 2.355337
2013-08-22;Brasserie le Morvan;61 rue du château d'eau;75010;1;-;-;48.872498 2.355136
2013-08-22;Chez Miamophile;6 rue Mélingue;75019;1;1;1;48.874879 2.386064
2012-05-11;La Caravane;Rue de la Fontaine au Roi;75011;0;-;-;48.868584 2.373007
2012-05-11;Panem;18 rue de Crussol;75011;0;-;-;48.864269 2.36858
2012-05-11;Petits Freres des Pauvres;47 rue de Batignolles;75017;0;-;-;48.885662 2.319591
2012-05-11;Café Dupont;198 rue de la Convention;75015;0;-;-;48.837212 2.296046
2012-10-22;L'Angle;28 rue de Ponthieu;75008;1;1;-;48.871002 2.30879
2012-10-22;Institut des Cultures d'Islam;19-23 rue Léon;75018;1;1;-;48.888023 2.353467
2012-10-22;Canopy Café associatif;19 rue Pajol;75018;1;1;-;48.886044 2.360781
2012-10-09;L'Entracte;place de l'opera;75002;1;-;-;48.870287 2.332491
2012-10-09;Le Sévigné;15 rue du Parc Royal;75003;1;-;-;48.858709 2.362701
2012-10-09;Le Café d'avant;35 rue Claude Bernard;75005;1;-;-;48.839687 2.347254
2012-10-09;Le Lucernaire;53 rue Notre-Dame des Champs;75006;1;-;-;48.844244 2.330407
2012-10-09;Le Brigadier;12 rue Blanche;75009;1;-;-;48.877599 2.332111
2012-03-07;L'âge d'or;26 rue du Docteur Magnan;75013;1;-;-;48.826494 2.359987
2012-03-07;Café Victor;10 boulevard Victor;75015;1;-;-;48.835843 2.278501
2012-03-07;L'empreinte;54, avenue Daumesnil;75012;1;-;-;48.845337 2.379024
2012-03-07;L'horizon;93, rue de la Roquette;75011;1;-;-;48.857312 2.379055
2012-06-27;Au pays de Vannes;34 bis rue de Wattignies;75012;1;-;-;48.835878 2.395723
2012-06-27;Café Martin;2 place Martin Nadaud;75001;1;-;-;48.865134 2.395055
2012-06-27;Café Varenne;36 rue de Varenne;75007;1;-;-;48.85413 2.323539
2012-06-27;l'Eléphant du nil;125 Rue Saint-Antoine;75004;1;-;-;48.855161 2.360218
2012-06-27;Le Comptoir;354 bis rue Vaugirard;75015;1;-;-;48.8357 2.292961
2012-06-27;Le Parc Vaugirard;358 rue de Vaugirard;75015;1;-;-;48.835451 2.292515
2012-06-27;Le Reynou;2 bis quai de la mégisserie;75001;1;-;-;48.857533 2.346477
2012-06-27;le Zango;58 rue Daguerre;75014;1;-;-;48.834972 2.327007
2012-06-27;Melting Pot;3 rue de Lagny;75020;1;-;-;48.848887 2.399972
2012-06-27;Pari's Café;174 avenue de Clichy;75017;1;-;-;48.892366 2.317359
