objectid;nom_site;adresse;code_site;arrondissement;geo_shape;geo_point_2d
114;MAIRIE  11;PLACE LEON BLUM;PARIS_WIFI_1108;75011;POINT(2.379502030844333 48.85849832967313);48.8584983297 2.37950203084
119;SQUARE DES JARDINIERS;2 PASSAGE DUMAS;PARIS_WIFI_1113;75011;POINT(2.390500108366737 48.85206467454994);48.8520646745 2.39050010837
125;BIBLIOTHEQUE DIDEROT;42, RUE DAUMESNIL;PARIS_WIFI_1203;75012;POINT(2.377783970787097 48.845988752881794);48.8459887529 2.37778397079
128;CENTRE D'ANIMATION MONTGALLET;4, PASSAGE STINVILLE;PARIS_WIFI_1207;75012;POINT(2.388513791530703 48.844133856906225);48.8441338569 2.38851379153
131;DSTI;227, RUE DE BERCY;PARIS_WIFI_1210;75012;POINT(2.369706538376077 48.846518632885044);48.8465186329 2.36970653838
143;SOLARIUM ROGER LE GALL;34, BOULEVARD CARNOT;PARIS_WIFI_1222;75012;POINT(2.412626140034946 48.841897257939785);48.8418972579 2.41262614003
157;JARDIN CYPRIAN NORWID;36, RUE DU CHEVALERET;PARIS_WIFI_1310;75013;POINT(2.377507488652305 48.82811480174004);48.8281148017 2.37750748865
165;MAISON DES INITIATIVES ETUDIANTES;15, RUE JEAN ANTOINE DE BAIF;PARIS_WIFI_1318;75013;POINT(2.383717640979977 48.826817068216286);48.8268170682 2.38371764098
177;SQUARE JEAN CLAUDE NICOLAS FORESTIER;79,  BOULEVARD KELLERMANN;PARIS_WIFI_1330;75013;POINT(2.34789219570924 48.81939102834572);48.8193910283 2.34789219571
182;BIBLIOTHEQUE PLAISANCE (AIME CESAIRE);3, RUE DE RIDDER;PARIS_WIFI_1402;75014;POINT(2.311805203203821 48.83118822580484);48.8311882258 2.3118052032
183;BIBLIOTHEQUE VANDAMME;80, AVENUE DU MAINE;PARIS_WIFI_1403;75014;POINT(2.321827372741553 48.83899034217277);48.8389903422 2.32182737274
186;INSTITUT DU JUDO;21, AVENUE DE LA PORTE DE CHÃ„TILLON;PARIS_WIFI_1406;75014;POINT(2.315835549874303 48.82290813052457);48.8229081305 2.31583554987
211;MAIRIE  15;31, RUE PECLET;PARIS_WIFI_1512;75015;POINT(2.299958836832293 48.84128224045719);48.8412822405 2.29995883683
212;MAISON COMMUNALE;69, RUE VIOLET;PARIS_WIFI_1513;75015;POINT(2.291406563774308 48.84560767174906);48.8456076717 2.29140656377
213;MAISON DES ASSOCIATIONS DU 15;26, RUE DE LA SAIDA;PARIS_WIFI_1514;75015;POINT(2.296177830611113 48.831666957341604);48.8316669573 2.29617783061
220;SQUARE RUE BLOMET;RUE BLOMET;PARIS_WIFI_1522;75015;POINT(2.3052349704244772 48.84221650113775);48.8422165011 2.30523497042
225;BIBLIOTHEQUE MUSSET;20, RUE DE MUSSET;PARIS_WIFI_1601;75016;POINT(2.263521881324014 48.84207898886967);48.8420789889 2.26352188132
226;BIBLIOTHEQUE GERMAINE TILLION (EX : TROCADERO);2, RUE DU COMMANDANT SCHLOESING;PARIS_WIFI_1602;75016;POINT(2.2849706536615 48.86188876252404);48.8618887625 2.28497065366
236;SQUARE ALEXANDRE ET RENE PARODI;BOULEVARD THIERRY DE MARTEL;PARIS_WIFI_1612;75016;POINT(2.280897195044373 48.87636534204044);48.876365342 2.28089719504
240;BIBLIOTHEQUE BATIGNOLLES;18, RUE DES BATIGNOLLES;PARIS_WIFI_1701;75017;POINT(2.322075223837728 48.88433774966841);48.8843377497 2.32207522384
243;CENTRE CULTUREL LA JONQUIERE;88, RUE LA JONQUIERE;PARIS_WIFI_1704;75017;POINT(2.319061529225863 48.89474446504488);48.894744465 2.31906152923
254;BIBLIOTHEQUE ROBERT SABATIER (EX : CLIGNANCOURT);29, RUE HERMEL;PARIS_WIFI_1801;75018;POINT(2.344473448994981 48.891624970944925);48.8916249709 2.34447344899
261;MAISON DE L'EMPLOI DU 18;164, RUE ORDENER;PARIS_WIFI_1808;75018;POINT(2.335507337275557 48.893829676215425);48.8938296762 2.33550733728
267;SQUARE SUZANNE BUISSON;7, RUE GIRARDON;PARIS_WIFI_1814;75018;POINT(2.337638952189561 48.88814405777454);48.8881440578 2.33763895219
279;MAISON DES ASSOCIATIONS DU 19;20, RUE EDOUARD PAILLERON;PARIS_WIFI_1911;75019;POINT(2.376550239452313 48.88043581313899);48.8804358131 2.37655023945
289;SQUARE DE LA MARSEILLAISE;1 BIS, RUE DE LA MARSEILLAISE;PARIS_WIFI_1921;75019;POINT(2.397322959410145 48.88795230388303);48.8879523039 2.39732295941
290;SQUARE MARCEL MOULOUDJI (ANCIEN LOIRE JAURES);2, RUE PIERRE REVERDY;PARIS_WIFI_1922;75019;POINT(2.377259357734391 48.885626564158684);48.8856265642 2.37725935773
296;CARRE BAUDOUIN;121, RUE DE MESNILMONTANT;PARIS_WIFI_2006;75020;POINT(2.394114442701314 48.86994544070374);48.8699454407 2.3941144427
297;CENTRE D'ANIMATION LOUIS LUMIERE;46, RUE LOUIS LUMIERE;PARIS_WIFI_2007;75020;POINT(2.411524682091793 48.860402544750485);48.8604025448 2.41152468209
302;JARDIN HOSPICE DEBROUSSE;148, RUE DE BAGNOLET;PARIS_WIFI_2012;75020;POINT(2.406867312142673 48.861952580250154);48.8619525803 2.40686731214
308;PARC DE BELLEVILLE;45, RUE DES COURONNES;PARIS_WIFI_2018;75020;POINT(2.38483338502976 48.870572219479115);48.8705722195 2.38483338503
311;SQUARE ANTOINE BLONDIN (ANCIEN VILLAGE CHARONNE);128, RUE DE BAGNOLET;PARIS_WIFI_2021;75020;POINT(2.405157698829653 48.86050901376866);48.8605090138 2.40515769883
318;MEDIATHEQUE MARGUERITE DURAS;109-115, RUE DE BAGNOLET;PARIS_WIFI_2028;75020;POINT(2.4027688850440763 48.86016962096488);48.860169621 2.40276888504
16;SQUARE LEOPOLD ACHILLE;13-13 BIS, RUE PAYENNE;PARIS-WIFI_0308;75003;POINT(2.363457811608563 48.85818833451022);48.8581883345 2.36345781161
31;PARVIS DE L'HOTEL DE VILLE (9, PLACE);9, PLACE DE L'HOTEL DE VILLE;PARIS_WIFI_0417;75004;POINT(2.351203352003823 48.857254117659956);48.8572541177 2.351203352
32;PARVIS DE L'HOTEL DE VILLE (RIVOLI);4, PLACE DE L'HOTEL DE VILLE;PARIS_WIFI_0418;75004;POINT(2.352019063090312 48.85660412214855);48.8566041221 2.35201906309
44;BIBLIOTHEQUE HEURE JOYEUSE;6, RUE DES PRETRES SAINT SEVERIN;PARIS_WIFI_0503;75005;POINT(2.345054202701727 48.85197532521217);48.8519753252 2.3450542027
53;BIBLIOTHEQUE ANDRE MALRAUX;78, BOULEVARD RASPAIL;PARIS_WIFI_0601;75006;POINT(2.327575936583555 48.84810679194541);48.8481067919 2.32757593658
56;SQUARE FELIX DESRUELLES;168 BIS, BOULEVARD SAINT GERMAIN;PARIS_WIFI_0604;75006;POINT(2.334235919977835 48.85384301217657);48.8538430122 2.33423591998
68;BERGES DE SEINE - LA HALLE;PORT DE SOLFERINO;PARIS_WIFI_0711;75007;POINT(2.322439591275651 48.86181715110975);48.8618171511 2.32243959128
